code,name,date,open,high,low,close,volume,amount
601857,中国石油,2023-11-21,6.42884886,6.50988477,6.40183689,6.41984487,95362948,683856168.65
601857,中国石油,2023-11-22,6.42884886,6.4828728,6.40183689,6.41084088,57726017,413492447.82
601857,中国石油,2023-11-23,6.3928329,6.42884886,6.34781295,6.40183689,60476278,428857662.96
601857,中国石油,2023-11-24,6.40183689,6.45586083,6.38382891,6.41084088,52717602,376530408.25
601857,中国石油,2023-11-27,6.41984487,6.44685684,6.33880896,6.41984487,85257795,605065025.5
601857,中国石油,2023-11-28,6.41084088,6.41984487,6.34781295,6.36582093,85311276,603620837.26
601857,中国石油,2023-11-29,6.38382891,6.40183689,6.31179699,6.35681694,101349510,715253670.84
601857,中国石油,2023-11-30,6.36582093,6.49187679,6.34781295,6.46486482,154368132,1104333141.23
601857,中国石油,2023-12-01,6.46486482,6.50988477,6.41984487,6.46486482,98164655,704325712.82
601857,中国石油,2023-12-04,6.46486482,6.56390871,6.45586083,6.4828728,77899338,563636923.39
601857,中国石油,2023-12-05,6.46486482,6.49187679,6.34781295,6.35681694,73755536,526154572.58
601857,中国石油,2023-12-06,6.34781295,6.38382891,6.13171719,6.13171719,187473333,1285485743.8
601857,中国石油,2023-12-07,6.08669724,6.14072118,6.04167729,6.10470522,104999643,710900792.62
601857,中国石油,2023-12-08,6.11370921,6.27578103,6.08669724,6.18574113,116201497,800368578.14
601857,中国石油,2023-12-11,6.18574113,6.22175709,6.00566133,6.17673714,113547547,772144373.06
601857,中国石油,2023-12-12,6.16773315,6.23076108,6.09570123,6.22175709,83779197,573794655.84
601857,中国石油,2023-12-13,6.15872916,6.17673714,6.07769325,6.08669724,90668816,615881699.6
601857,中国石油,2023-12-14,6.11370921,6.14072118,6.06868926,6.07769325,59099659,400725687.95
601857,中国石油,2023-12-15,6.1227132,6.14072118,6.04167729,6.05968527,71770339,485491162.76
601857,中国石油,2023-12-18,6.04167729,6.1227132,6.01466532,6.08669724,58715226,396818948.55
601857,中国石油,2023-12-19,6.10470522,6.11370921,6.04167729,6.09570123,60456234,408034601.51
601857,中国石油,2023-12-20,6.09570123,6.16773315,6.07769325,6.09570123,77317422,526177324.14
601857,中国石油,2023-12-21,6.07769325,6.1227132,6.04167729,6.09570123,64711609,438099555.59
601857,中国石油,2023-12-22,6.09570123,6.18574113,6.08669724,6.14972517,93739184,640323867.71
601857,中国石油,2023-12-25,6.1227132,6.24876906,6.11370921,6.23076108,79472698,545944104.91
601857,中国石油,2023-12-26,6.23076108,6.32980497,6.20374911,6.29378901,94953825,663657088.99
601857,中国石油,2023-12-27,6.302793,6.45586083,6.27578103,6.41084088,107788964,767431891.53
601857,中国石油,2023-12-28,6.41984487,6.46486482,6.31179699,6.35681694,116720455,825151570.07
601857,中国石油,2023-12-29,6.32080098,6.41084088,6.26677704,6.35681694,118854125,836445197.78
601857,中国石油,2024-01-02,6.35681694,6.47386881,6.34781295,6.42884886,122608689,873933752.22
601857,中国石油,2024-01-03,6.42884886,6.5729127,6.40183689,6.55490472,134655887,975419831.03
601857,中国石油,2024-01-04,6.59992467,6.71697654,6.59092068,6.68996457,149391302,1103951799.06
601857,中国石油,2024-01-05,6.65394861,6.83402841,6.61793265,6.74398851,152900232,1149424617.4
601857,中国石油,2024-01-08,6.7529925,6.81602043,6.68096058,6.72598053,116656527,873973695.33
601857,中国石油,2024-01-09,6.64494462,6.73498452,6.59092068,6.71697654,106987184,794234789.26
601857,中国石油,2024-01-10,6.71697654,6.79801245,6.65394861,6.67195659,79849103,594867513.19
601857,中国石油,2024-01-11,6.63594063,6.65394861,6.4828728,6.50988477,128745612,937044630.64
601857,中国石油,2024-01-12,6.53689674,6.5729127,6.45586083,6.50988477,95005360,686252129.93
601857,中国石油,2024-01-15,6.49187679,6.61793265,6.46486482,6.59992467,87215501,635988823.26
601857,中国石油,2024-01-16,6.58191669,6.63594063,6.52789275,6.60892866,100607620,735850339.25
601857,中国石油,2024-01-17,6.5729127,6.60892866,6.4828728,6.4828728,100884100,733811242.5
601857,中国石油,2024-01-18,6.50088078,6.54590073,6.20374911,6.47386881,195562937,1383391363.89
601857,中国石油,2024-01-19,6.43785285,6.4828728,6.34781295,6.42884886,119694368,854091375.82
601857,中国石油,2024-01-22,6.42884886,6.4828728,6.28478502,6.34781295,130931082,931752789.28
