date,stock_name,close
2021-03-17,上证综指,3445.5509
2021-03-18,上证综指,3463.0681
2021-03-19,上证综指,3404.6634
2021-03-22,上证综指,3443.4392
2021-03-23,上证综指,3411.5088
2021-03-24,上证综指,3367.0606
2021-03-25,上证综指,3363.5915
2021-03-26,上证综指,3418.3267
2021-03-29,上证综指,3435.2958
2021-03-30,上证综指,3456.6766
2021-03-31,上证综指,3441.9115
2021-04-01,上证综指,3466.3315
2021-04-02,上证综指,3484.3924
2021-04-06,上证综指,3482.9674
2021-04-07,上证综指,3479.6256
2021-04-08,上证综指,3482.5548
2021-04-09,上证综指,3450.6772
2021-04-12,上证综指,3412.9477
2021-04-13,上证综指,3396.47
2021-04-14,上证综指,3416.7212
2021-04-15,上证综指,3398.9875
2021-04-16,上证综指,3426.6178
2021-04-19,上证综指,3477.5485
2021-04-20,上证综指,3472.9427
2021-04-21,上证综指,3472.9298
2021-04-22,上证综指,3465.1138
2021-04-23,上证综指,3474.166
2021-04-26,上证综指,3441.1658
2021-04-27,上证综指,3442.6111
2021-04-28,上证综指,3457.0683
2021-04-29,上证综指,3474.9011
2021-04-30,上证综指,3446.8564
2021-05-06,上证综指,3441.2826
2021-05-07,上证综指,3418.8741
2021-05-10,上证综指,3427.9909
2021-05-11,上证综指,3441.8454
2021-05-12,上证综指,3462.7513
2021-05-13,上证综指,3429.5361
2021-05-14,上证综指,3490.3762
2021-05-17,上证综指,3517.6158
2021-05-18,上证综指,3529.0144
2021-05-19,上证综指,3510.9647
2021-05-20,上证综指,3506.9444
2021-05-21,上证综指,3486.5569
2021-05-24,上证综指,3497.2821
2021-05-25,上证综指,3581.3418
2021-05-26,上证综指,3593.357
2021-05-27,上证综指,3608.8507
2021-05-28,上证综指,3600.7844
2021-05-31,上证综指,3615.4773
2021-06-01,上证综指,3624.7138
2021-06-02,上证综指,3597.1379
2021-06-03,上证综指,3584.2121
2021-06-04,上证综指,3591.8447
2021-06-07,上证综指,3599.541
2021-06-08,上证综指,3580.1063
2021-06-09,上证综指,3591.3965
2021-06-10,上证综指,3610.859
2021-06-11,上证综指,3589.7481
2021-06-15,上证综指,3556.559
2021-06-16,上证综指,3518.3292
2021-06-17,上证综指,3525.6042
2021-06-18,上证综指,3525.0968
2021-06-21,上证综指,3529.1826
2021-06-22,上证综指,3557.412
2021-06-23,上证综指,3566.2199
2021-06-24,上证综指,3566.6539
2021-06-25,上证综指,3607.5618
2021-06-28,上证综指,3606.3722
2021-06-29,上证综指,3573.1779
2021-06-30,上证综指,3591.197
2021-07-01,上证综指,3588.7816
2021-07-02,上证综指,3518.7595
2021-07-05,上证综指,3534.3222
2021-07-06,上证综指,3530.2589
2021-07-07,上证综指,3553.7155
2021-07-08,上证综指,3525.5039
2021-07-09,上证综指,3524.0881
2021-07-12,上证综指,3547.8362
2021-07-13,上证综指,3566.5225
2021-07-14,上证综指,3528.5011
2021-07-15,上证综指,3564.5902
2021-07-16,上证综指,3539.3038
2021-07-19,上证综指,3539.1225
2021-07-20,上证综指,3536.7905
2021-07-21,上证综指,3562.6611
2021-07-22,上证综指,3574.7344
2021-07-23,上证综指,3550.3964
2021-07-26,上证综指,3467.4409
2021-07-27,上证综指,3381.1833
2021-07-28,上证综指,3361.5895
2021-07-29,上证综指,3411.724
2021-07-30,上证综指,3397.3574
2021-08-02,上证综指,3464.2854
2021-08-03,上证综指,3447.9914
2021-08-04,上证综指,3477.2186
2021-08-05,上证综指,3466.5491
2021-08-06,上证综指,3458.2277
2021-08-09,上证综指,3494.6348
2021-08-10,上证综指,3529.9309
2021-08-11,上证综指,3532.6213
2021-08-12,上证综指,3524.7374
2021-08-13,上证综指,3516.2989
2021-08-16,上证综指,3517.3447
2021-08-17,上证综指,3446.976
2021-08-18,上证综指,3485.2859
2021-08-19,上证综指,3465.5546
2021-08-20,上证综指,3427.3338
2021-08-23,上证综指,3477.1321
2021-08-24,上证综指,3514.471
2021-08-25,上证综指,3540.3837
2021-08-26,上证综指,3501.6643
2021-08-27,上证综指,3522.1567
2021-08-30,上证综指,3528.1512
2021-08-31,上证综指,3543.9402
2021-09-01,上证综指,3567.1008
2021-09-02,上证综指,3597.0426
2021-09-03,上证综指,3581.7344
2021-09-06,上证综指,3621.8593
2021-09-07,上证综指,3676.5866
2021-09-08,上证综指,3675.1865
2021-09-09,上证综指,3693.1296
2021-09-10,上证综指,3703.1103
2021-09-13,上证综指,3715.3723
2021-09-14,上证综指,3662.6015
2021-09-15,上证综指,3656.2232
2021-09-16,上证综指,3607.0922
2021-09-17,上证综指,3613.9663
2021-09-22,上证综指,3628.4897
2021-09-23,上证综指,3642.2204
2021-09-24,上证综指,3613.0673
2021-09-27,上证综指,3582.8307
2021-09-28,上证综指,3602.2184
2021-09-29,上证综指,3536.2944
2021-09-30,上证综指,3568.1668
2021-10-08,上证综指,3592.1666
2021-10-11,上证综指,3591.7087
2021-10-12,上证综指,3546.9362
2021-10-13,上证综指,3561.7623
2021-10-14,上证综指,3558.2795
2021-10-15,上证综指,3572.3662
2021-10-18,上证综指,3568.1379
2021-10-19,上证综指,3593.1533
2021-10-20,上证综指,3587.0009
2021-10-21,上证综指,3594.7831
2021-10-22,上证综指,3582.6036
2021-10-25,上证综指,3609.8626
2021-10-26,上证综指,3597.6377
2021-10-27,上证综指,3562.3052
2021-10-28,上证综指,3518.4166
2021-10-29,上证综指,3547.3361
2021-11-01,上证综指,3544.4795
2021-11-02,上证综指,3505.6283
2021-11-03,上证综指,3498.5368
2021-11-04,上证综指,3526.8657
2021-11-05,上证综指,3491.5677
2021-11-08,上证综指,3498.6308
2021-11-09,上证综指,3507.0018
2021-11-10,上证综指,3492.4616
2021-11-11,上证综指,3532.7858
2021-11-12,上证综指,3539.1002
2021-11-15,上证综指,3533.3026
2021-11-16,上证综指,3521.7867
2021-11-17,上证综指,3537.3662
2021-11-18,上证综指,3520.7106
2021-11-19,上证综指,3560.3734
2021-11-22,上证综指,3582.0797
2021-11-23,上证综指,3589.0894
2021-11-24,上证综指,3592.7025
2021-11-25,上证综指,3584.1788
2021-11-26,上证综指,3564.0894
2021-11-29,上证综指,3562.6968
2021-11-30,上证综指,3563.8872
2021-12-01,上证综指,3576.8853
2021-12-02,上证综指,3573.8358
2021-12-03,上证综指,3607.4322
2021-12-06,上证综指,3589.3061
2021-12-07,上证综指,3595.0882
2021-12-08,上证综指,3637.5675
2021-12-09,上证综指,3673.0412
2021-12-10,上证综指,3666.3479
2021-12-13,上证综指,3681.082
2021-12-14,上证综指,3661.5253
2021-12-15,上证综指,3647.6303
2021-12-16,上证综指,3675.016
2021-12-17,上证综指,3632.3638
2021-12-20,上证综指,3593.6019
2021-12-21,上证综指,3625.1251
2021-12-22,上证综指,3622.6178
2021-12-23,上证综指,3643.3391
2021-12-24,上证综指,3618.0535
2021-12-27,上证综指,3615.9741
2021-12-28,上证综指,3630.1115
2021-12-29,上证综指,3597.0002
2021-12-30,上证综指,3619.1886
2021-12-31,上证综指,3639.7754
2022-01-04,上证综指,3632.3289
2022-01-05,上证综指,3595.1761
2022-01-06,上证综指,3586.0792
2022-01-07,上证综指,3579.5427
2022-01-10,上证综指,3593.5187
2022-01-11,上证综指,3567.4409
2022-01-12,上证综指,3597.4321
2022-01-13,上证综指,3555.2585
2022-01-14,上证综指,3521.2559
2022-01-17,上证综指,3541.666
2022-01-18,上证综指,3569.9144
2022-01-19,上证综指,3558.1796
2022-01-20,上证综指,3555.0629
2022-01-21,上证综指,3522.5679
2022-01-24,上证综指,3524.105
2022-01-25,上证综指,3433.0612
2022-01-26,上证综指,3455.6679
2022-01-27,上证综指,3394.2474
2022-01-28,上证综指,3361.4397
2022-02-07,上证综指,3429.5809
2022-02-08,上证综指,3452.6288
2022-02-09,上证综指,3479.9458
2022-02-10,上证综指,3485.9071
2022-02-11,上证综指,3462.9479
2022-02-14,上证综指,3428.8821
2022-02-15,上证综指,3446.0885
2022-02-16,上证综指,3465.8305
2022-02-17,上证综指,3468.0354
2022-02-18,上证综指,3490.7573
2022-02-21,上证综指,3490.6123
2022-02-22,上证综指,3457.146
2022-02-23,上证综指,3489.1465
2022-02-24,上证综指,3429.9564
2022-02-25,上证综指,3451.4061
2022-02-28,上证综指,3462.3064
2022-03-01,上证综指,3488.8347
2022-03-02,上证综指,3484.1916
2022-03-03,上证综指,3481.1125
2022-03-04,上证综指,3447.649
2022-03-07,上证综指,3372.8552
2022-03-08,上证综指,3293.5301
2022-03-09,上证综指,3256.3884
2022-03-10,上证综指,3296.0922
2022-03-11,上证综指,3309.7467
2022-03-14,上证综指,3223.5328
2022-03-15,上证综指,3063.9652
2022-03-16,上证综指,3170.7103
2022-03-17,上证综指,3215.0445
2022-03-18,上证综指,3251.0724
2022-03-21,上证综指,3253.6857
2022-03-22,上证综指,3259.8619
2022-03-23,上证综指,3271.0325
2022-03-24,上证综指,3250.2644
2022-03-25,上证综指,3212.2399
