code,name,date,open,high,low,close,volume,amount,daily_return
1,上证综指,2024-09-10,2737.881,2750.1181,2718.6273,2744.1921,26215901500,226408492961.9,0.28154704592853186
1,上证综指,2024-09-11,2732.7314,2732.7314,2710.6208,2721.7952,24226490000,219755948411.4,-0.8161564199532623
1,上证综指,2024-09-12,2722.1382,2734.6832,2716.5552,2717.1231,24008431500,218571098697.3,-0.17165508999354984
1,上证综指,2024-09-13,2718.9864,2728.7797,2703.3689,2704.0896,25127003800,227818801149.3,-0.4796801440464682
1,上证综指,2024-09-18,2705.3451,2724.1141,2689.6952,2717.2813,24781713200,213090588644.7,0.4878425626133165
1,上证综指,2024-09-19,2723.2053,2747.7402,2697.7756,2736.0222,31520838900,280536046232.0,0.689693039877759
1,上证综指,2024-09-20,2734.2277,2741.1552,2717.9451,2736.8139,28564462700,255433329892.5,0.028936168719684296
1,上证综指,2024-09-23,2735.3895,2760.4799,2731.3571,2748.9177,25764215400,235214505877.1,0.44225878858623613
1,上证综指,2024-09-24,2770.7543,2863.1519,2761.3717,2863.1255,47761954500,442795296868.8,4.1546460266889795
1,上证综指,2024-09-25,2901.4185,2952.4511,2889.048,2896.3057,56825981600,516698093562.2,1.1588803913764822
1,上证综指,2024-09-26,2893.7451,3000.9526,2889.0143,3000.9526,57631926100,524669070870.6,3.6131165297917267
1,上证综指,2024-09-27,3049.1026,3087.5286,3017.4453,3087.5286,49228716300,480612559539.5,2.8849505986865642
1,上证综指,2024-09-30,3194.7224,3358.5883,3153.697,3336.4974,110233791700,1167772549990.4,8.063692106366238
1,上证综指,2024-10-08,3674.4048,3674.4048,3372.1868,3489.7751,131346019500,1510513250817.1,4.593970311500906
1,上证综指,2024-10-09,3427.2199,3437.1571,3249.1591,3258.8578,99275725600,1264311454429.5,-6.616967953035124
1,上证综指,2024-10-10,3277.6916,3379.8053,3228.1248,3301.9259,83450025700,947788514989.0,1.3215703980701488
1,上证综指,2024-10-11,3287.8727,3297.7517,3187.9882,3217.7377,60602743300,664332794461.9,-2.5496695731421437
1,上证综指,2024-10-14,3241.4275,3294.6199,3203.901,3284.3225,63146685900,701499242569.3,2.0693047789445362
1,上证综指,2024-10-15,3265.7461,3285.2147,3201.2919,3201.2919,56605455800,619091471860.4,-2.5280891264484517
1,上证综指,2024-10-16,3169.1685,3236.848,3167.7364,3202.948,51581399700,533062408932.0,0.05173223972483321
1,上证综指,2024-10-17,3220.7334,3241.5675,3169.3843,3169.3843,52861177200,557347351398.0,-1.0479002468975374
1,上证综指,2024-10-18,3165.9745,3313.9784,3152.8213,3261.5633,69301462300,827948922139.1,2.908419783615379
1,上证综指,2024-10-21,3276.0598,3300.664,3239.0965,3268.11,66815029900,855781454017.1,0.20072276383538146
1,上证综指,2024-10-22,3263.8224,3294.9612,3255.1375,3285.8669,57491378100,698861461335.1,0.5433385045178873
1,上证综指,2024-10-23,3285.2474,3331.0823,3277.0663,3302.8028,65044412800,760066419549.9,0.5154164948068862
1,上证综指,2024-10-24,3287.8243,3292.9448,3266.8823,3280.2625,51982707400,585248946960.3,-0.6824597581181702
1,上证综指,2024-10-25,3280.7616,3319.3571,3276.1303,3299.7003,59565170700,677255321349.3,0.5925684301180123
1,上证综指,2024-10-28,3300.4634,3322.1975,3279.715,3322.1975,67237313100,717510218018.9,0.6817952527385707
1,上证综指,2024-10-29,3328.0885,3340.4584,3284.2108,3286.407,72532615400,806573822261.9,-1.0773140368686707
1,上证综指,2024-10-30,3273.6421,3291.6795,3244.8063,3266.2378,66901809000,730619786746.3,-0.6137158300843493
1,上证综指,2024-10-31,3267.975,3295.7421,3252.3899,3279.8244,78464909400,864970968962.6,0.4159709375722853
1,上证综指,2024-11-01,3275.5768,3305.3181,3258.7346,3272.0142,85205532000,878112793944.5,-0.2381286022507756
1,上证综指,2024-11-04,3275.6787,3310.2072,3263.8421,3310.2072,66507745400,692341763272.3,1.167262660412649
1,上证综指,2024-11-05,3306.8098,3386.9869,3302.0472,3386.9869,82112490200,929931429368.6,2.3194832033475166
1,上证综指,2024-11-06,3395.2217,3420.9986,3367.0812,3383.8062,89585593000,1026807640357.8,-0.09390942728476626
1,上证综指,2024-11-07,3359.9851,3470.6609,3356.258,3470.6609,95955668000,1048841306120.8,2.5667752485352135
1,上证综指,2024-11-08,3502.1331,3509.8182,3443.193,3452.2971,96403456200,1107932295571.4,-0.5291153624371714
1,上证综指,2024-11-11,3432.3672,3471.1222,3416.7266,3470.0657,81802543600,1024334899510.8,0.5146891905682294
